Title,Link,Company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
Nhân Viên IT Phần Mềm Tại Bắc Ninh,https://www.topcv.vn/viec-lam/nhan-vien-it-phan-mem-tai-bac-ninh/877681.html?ta_source=ITJobs_LinkDetail,Công ty TNHH MPT Solution (Việt Nam),Thoả thuận,Bắc Ninh,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"1). Tốt nghiệp Cao đẳng trở lên các chuyên ngành công nghệ thông tin, công nghệ phần mềm.
2). Thành thạo các ngôn ngữ lập trình : C#, Java , Javascript , Dotnet...
3). Có hiểu biết về SQLSERVER、MYSQL, Oracle. Hiểu biết Oracle là một lợi thế
4) Tiếng Trung thành thạo"
Nhân Viên IT Hệ Thống (Thu Nhập 18 - 25 Triệu + Hỗ Trợ Ăn Trưa),https://www.topcv.vn/viec-lam/nhan-vien-it-he-thong-thu-nhap-18-25-trieu-ho-tro-an-trua/1280663.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN TOMECO AN KHANG,18 - 25 triệu,Hà Nội,Nhân viên,5 năm,Toàn thời gian,Không yêu cầu,"- Đại học chuyên ngành liên quan: công nghệ thông tin
- Có kiến thức về Công nghệ thông tin, máy văn phòng.
- Am hiểu về hệ thống mạng Lan, Wan, internet;
- Am hiểu về hệ điều hành Windows Server/Linux, ...;
- Am hiểu quản trị cơ sở dữ liệu SQL Server;
- Am hiểu hệ thống bảo mật: DLP; network security;
- Nắm vững các quy định về bảo mật thông tin;
- Quản lý các thiết bị công nghệ thông tin và công nghệ của công ty;"
Chuyên Viên Digital Marketing Executive - Đi Làm Ngay,https://www.topcv.vn/viec-lam/chuyen-vien-digital-marketing-executive-di-lam-ngay/1280870.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH DƯỢC PHẨM PRO CUỘC SỐNG XANH,Trên 10 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp Đại học chuyên ngành marketing hoặc liên quan. Ưu tiên ứng viên nam.
- Kinh nghiệm từ 2 năm ở vị trí Digital Marketing là một lợi thế.
- Am hiểu về các công cụ Digital Marketing và sử dụng thành thạo, edit video để chạy quảng cáo/ thiết kế hình ảnh cơ bản
- Có khả năng xây dựng chiến lược marketing và làm việc theo chỉ tiêu kế hoạch, tinh thần trách nhiệm cao, đúng tiến độ.
- Kỹ năng viết và giao tiếp tốt.
- Thái độ tích cực và suy nghĩ lạc quan trong công việc.
- Ưu tiên ứng viên có khả năng quay dựng chụp hình và thiết kế cơ bản."
Nhân Viên Xử Lý Dữ Liệu Tiếng Nhật (Tiếng Nhật N3),https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-du-lieu-tieng-nhat-tieng-nhat-n3/1286664.html?ta_source=ITJobs_LinkDetail,CHI NHÁNH CÔNG TY TNHH PASONA TECH VIỆT NAM TẠI HÀ NỘI,Thoả thuận,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học, cao đẳng.
- Tiếng Nhật tương đương N3.
- Thành thạo tin học văn phòng, đặc biệt là Excel, Word.
- Có khả năng giao tiếp tốt, nhanh nhẹn, chăm chỉ và ham học hỏi.
- Yêu thích làm việc trong môi trường công ty Nhật Bản."
CTV Vận Hành Lớp Học Trực Tuyến Part Time,https://www.topcv.vn/viec-lam/ctv-van-hanh-lop-hoc-truc-tuyen-part-time/1276247.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH PHÁT TRIỂN GIẢI PHÁP & CNTT DIỆP ANH,2.5 - 6 triệu,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Bán thời gian,Không yêu cầu,"Độ tuổi: 18 - 21 tuổiCó kinh nghiệm và kỹ năng sử dụng các công cụ Microsoft OfficeCó kỹ năng sử dụng các phần mềm điều khiển máy tính từ xa : teamviewer, ultraviewer, anydesk...Chưa có kinh nghiệm sẽ được công ty đào tạo từ đầu.Có laptop cá nhân để phục vụ cho công việc.Có kinh nghiệm hoạt động đội nhóm."
Trưởng Phòng Giải Pháp Tại Hà Nội Thu Nhập 30M-40M,https://www.topcv.vn/viec-lam/truong-phong-giai-phap-tai-ha-noi-thu-nhap-30m-40m/1013348.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần Ecoit,30 - 40 triệu,Hà Nội,Trưởng/Phó phòng,5 năm,Toàn thời gian,Không yêu cầu,"– Tốt nghiệp Đại Học trở lên chuyên ngành CNTT, tin học ứng dụng, điện tử viễn thông hoặc tương đương. – Am hiểu rõ các vấn đề pháp lý liên quan đến đấu thầu. – Có chứng chỉ về quản lý dự án là một lợi thế. – Có tối thiểu từ 03 năm kinh nghiệm làm việc trong các dự án CNTT, ĐẶC BIỆT là các dự án đầu tư công. – Có kinh nghiệm trong việc lập Báo cáo nghiên cứu khả thi, Thiết kế thi công tổng dự toán, Đề cương và Dự toán chi tiết... và các hồ sơ liên quan trong các dự án CNTT. – Nắm vững các giải pháp ứng dụng CNTT, giải pháp chuyển đổi số doanh nghiệp. (Hệ thống quản lý văn bản điều hành, Hệ thống thông tin nội bộ, Cổng TTĐT, giải pháp số hóa tài liệu, giải pháp kho lưu trữ số...) – Nắm vững cơ sở pháp lý và các thủ tục tham gia đấu thầu. – Có tinh thần học hỏi, có khả năng xây dựng/ thiết lập và duy trì các mối quan hệ với đối tác/ khách hàng; – Thành thạo giao tiếp, đàm phán, phân tích dữ liệu. – Có khả năng làm việc độc lập và làm việc nhóm.- Trình độ tin học: Thành thạo các kỹ năng vi tính văn phòng (MS. Word, Excel, PowerPoint, Outlook, Internet Explorer); Biết sử dụng Project Manager, Mindjet Mind manager là điểm cộng."
Tester Nữ (Có Kinh Nghiệm) - Tại Hà Nội,https://www.topcv.vn/viec-lam/tester-nu-co-kinh-nghiem-tai-ha-noi/1261111.html?ta_source=ITJobs_LinkDetail,MochiMochi,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Nữ,Đã có tối thiểu 1 năm kinh nghiệm trong các công việc tương tự Kỹ năng đọc hiểu tiếng Anh cơ bảnCởi mở và sẵn sàng học hỏiGửi kèm manual/automation testcase về UI/UX/Api/DB đã từng thực hiện trong CV ứng tuyển
IT Communicator (Japanese Speaking) Nhân Viên IT Tiếng Nhật,https://www.topcv.vn/viec-lam/it-communicator-japanese-speaking-nhan-vien-it-tieng-nhat/1277713.html?ta_source=ITJobs_LinkDetail,CHI NHÁNH CÔNG TY TNHH PASONA TECH VIỆT NAM TẠI ĐÀ NẴNG,Thoả thuận,Đà Nẵng,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp Đại họcKhả năng đọc, viết, tiếp thu và giao tiếp tiếng Nhật ở mức N2 trở lênCó từ 1 năm kinh nghiệm làm việc ở vị trí Communicator hoặc tương đươngNăng động và ham học hỏi (trong lĩnh vực kinh doanh, công nghệ thông tin, ngôn ngữ)Có tinh thần làm việc nhómƯu tiên:Kinh nghiệm trong lĩnh vực ITKinh nghiệm làm việc trong công ty Nhật Khả năng giao tiếp bằng tiếng Anh."
IT Comtor Tiếng Nhật -Thu Nhập Lên Tới 25 Triệu/Tháng,https://www.topcv.vn/viec-lam/it-comtor-tieng-nhat-thu-nhap-len-toi-25-trieu-thang/1281141.html?ta_source=ITJobs_LinkDetail,Beetechsoft,15 - 25 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Có trình độ cao đẳng trở lên. Tốt nghiệp các chuyên ngành liên quan đến tiếng Nhật. (N1, N2 hoặc tương đương)Có từ 1.5 năm kinh nghiệm với vị trí trí IT Comtor - Lĩnh vực phần mềm.Thành thạo vi tính văn phòng đặc biệt là word, excel, powerpoint.Kỹ năng xử lý công việc nhanh, chính xác.Kỹ năng giao tiếp, thuyết phục tốt.Cẩn thận, trung thực, kiên trì.Năng động, tự tin, sáng tạo, có khả năng làm việc độc lập và làm việc theo nhóm.Có khả năng hướng dẫn các member có ít kinh nghiệm.Ưu tiên những ứng viên luôn nỗ lực hết mình trong mọi hoàn cảnh và đưa ra những ý kiến đóng góp để phát triển công việc.Đã có kinh nghiệm làm việc tại các công ty Nhật Bản, Âu, Mỹ là một lợi thế."
Giáo Viên Tin Học - Tại Bắc Giang,https://www.topcv.vn/brand/fptedu/tuyen-dung/giao-vien-tin-hoc-tai-bac-giang-j1270454.html?ta_source=ITJobs_LinkDetail,TỔ CHỨC GIÁO DỤC FPT,Thoả thuận,Bắc Giang,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp Đại học trở lên chuyên ngành Sư phạm Tin học hoặc các chuyên ngành có liên quan (Công nghệ thông tin, Khoa học máy tính, Kĩ thuật phần mềm, An toàn thông tin,...), có Chứng chỉ nghiệp vụ sư phạm (nếu chuyên ngành tốt nghiệp không thuộc khối ngành Sư phạm)Có kiến thức chuyên môn tốt, hiểu biết về lập trình, đặc biệt là lập trình dành cho lứa tuổi trẻ em (Scratch, Tynker, Minecraft, Python, Roblox, Robotics,...)Có tâm huyết với nghề, phẩm chất đạo đức tốtKỹ năng giao tiếp, thuyết trình, giải quyết tình huống sư phạm và làm việc nhóm tốtNhanh nhẹn, năng động, có tinh thần học hỏi và sẵn sàng đổi mới phương pháp dạy họcThành thạo các phần mềm, ứng dụng và các thiết bị hỗ trợ giảng dạyƯu tiên ứng viên có từ 02 năm kinh nghiệm trở lên ở vị trí tương đương, cựu học sinh trường chuyên, từng đạt giải trong các kì thi Học sinh Giỏi hoặc có kinh nghiệm hướng dẫn đội tuyển học sinh dự thi Học sinh Giỏi."
Nhân Viên IT Helpdesk Nam Tại Vĩnh Phúc,https://www.topcv.vn/viec-lam/nhan-vien-it-helpdesk-nam-tai-vinh-phuc/1281011.html?ta_source=ITJobs_LinkDetail,Công ty TNHH Phân Phối Synnex FPT,Tới 9 triệu,Vĩnh Phúc,Nhân viên,2 năm,Toàn thời gian,Nam,"Nam, tốt nghiệp Cao đẳng trở lên các ngành điện tử, viễn thông, CNTT.
Có 02 năm kinh nghiệm trong lĩnh vực liên quan
Hiểu biết về hệ thống mạng LAN, WAN
Biết cài đặt mail Outlook, lưu trữ thông tin mail.
Có khả năng quản trị các hệ thống của MS như AD, DNS, DHCP, file, TMG ...
Có khả năng cài đặt và quản lý các ứng dụng
Chịu được áp lực công việc, có khả năng làm việc độc lập và làm việc nhóm"
Digital Marketing,https://www.topcv.vn/viec-lam/digital-marketing/1278513.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH WELLNESS LIFESTYLE,Thoả thuận,Hà Nội,,,,,
UX Designer (Upto 30M),https://www.topcv.vn/viec-lam/ux-designer-upto-30m/1280602.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN SYSTEMATIC FUNCTIONS,Tới 30 triệu,Hà Nội,,,,,
Quản Lý Dự Án (IT Project Manager) Làm Việc Tại Hà Nội,https://www.topcv.vn/viec-lam/quan-ly-du-an-it-project-manager-lam-viec-tai-ha-noi/1273420.html?ta_source=ITJobs_LinkDetail,Công Ty TNHH LG CNS VIỆT NAM,Thoả thuận,Hà Nội,,,,,
Unity Developer (Fresher),https://www.topcv.vn/viec-lam/unity-developer-fresher/1279020.html?ta_source=ITJobs_LinkDetail,Công ty TNHH BraveZone,400 - 600 USD,Hà Nội,,,,,
Kỹ Sư Phát Triển Phần Mềm (C/C++/Java/Golang/Android/IOS) - Lương Từ $650 - $2200++,https://www.topcv.vn/brand/congnghiepvienthongquandoi/tuyen-dung/ky-su-phat-trien-phan-mem-c-c-java-golang-android-ios-luong-tu-650-2200-j1269191.html?ta_source=ITJobs_LinkDetail,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"650 - 2,200 USD","Hà Nội, Hồ Chí Minh",Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp Đại học chính quy loại Khá trở lên chuyên ngành: Công nghệ thông tin, Khoa học máy tính, Toán – tin, Điện tử viễn thông,...hoặc các chuyên ngành kỹ thuật khác liên quan.- Trình độ tiếng Anh tương đương tối thiểu 550 điểm Toeic.- Có tối thiểu 02 năm kinh nghiệm liên quan đến vị trí ứng tuyển.- Sử dụng tốt ít nhất 1 ngôn ngữ lập trình (C/C++/Java/Golang/Android/iOS).- Có kiến thức nền tảng về công nghệ thông tin, ngôn ngữ mô hình hóa UML; quy trình phát triển phần mềm và toàn bộ vòng đời ứng dụng; mạng máy tính (các loại mạng, kiến trúc mạng, lập trình mạng, giao thức); ngôn ngữ truy vấn dữ liệu SQL, làm việc với hệ quản trị cơ sở dữ liệu, cấu trúc dữ liệu và giải thuật."
"Kỹ Sư IT Network (CSR Firewall, Networking, English)",https://www.topcv.vn/viec-lam/ky-su-it-network-csr-firewall-networking-english/1273727.html?ta_source=ITJobs_LinkDetail,Công Ty TNHH LG CNS VIỆT NAM,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Bắt buộcTốt nghiệp đại học trở lên, ưu tiên các chuyên ngành liên quanCó kiến thức cơ bản về Network(Hiểu về Switch, Routing, Port v.v)Có kinh nghiệm xử lí task về Firewall (thêm, sửa, xóa policy ...)Ưu tiênCó kính nghiệm vận hành Firewall như Fortinet, PaloaltoCó chứng chỉ về Network như CCNA, CCNPCó kinh nghiệm nhiều về vận hành NetworkGiao tiếp cơ bản bằng tiếng anh (Toiec 450 hoặc tương đương)"
Nhân Viên Tester (Ba/ QC/ Tester),https://www.topcv.vn/viec-lam/nhan-vien-tester-ba-qc-tester/1279780.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,12 - 18 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp đại học chuyên ngành CNTT.
- Skills yêu cầu
+ Kinh nghiệm test ít nhất 1 năm
+ Có khả năng lên Testcase
+ Có khả năng test qua API
- Skill lợi thế
+ Ưu tiên đã từng triển khai dự án phần mềm chứng khoán, có kinh nghiệm về lĩnh vực chứng khoán
+ Có chứng chỉ ISTQB"
Android Developer (Junior) Thu Nhập 12-15 Triệu/ Tháng,https://www.topcv.vn/viec-lam/android-developer-junior-thu-nhap-12-15-trieu-thang/1283867.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH NEKO SOFT,12 - 15 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Tối thiểu 01 năm kinh nghiệm làm việc với Java Android.Có kinh nghiệm phát triển ứng dụng Android.Có kiến thức về Kotlin và làm việc với những công nghệ mới RxJava,...Có thể sử dụng thành thạo một số công cụ như SVN, Git,...Khả năng đọc hiểu tài liệu (Tiếng Việt/Tiếng Anh) phục vụ vị trí công việc.Khả năng làm việc độc lập, làm việc nhóm.Tinh thần trách nhiệm cao, có khả năng chịu được áp lực công việc.Yêu thích làm sản phẩm ứng dụng."
"Trưởng Bộ Phận Phụ Trách Ứng Dụng Công Nghệ, Phần Mềm Trong Doanh Nghiệp - Thu Nhập Hấp Dẫn Thoả Thuận Theo Năng Lực (TPHCM, Bình Dương)",https://www.topcv.vn/viec-lam/truong-bo-phan-phu-trach-ung-dung-cong-nghe-phan-mem-trong-doanh-nghiep-thu-nhap-hap-dan-thoa-thuan-theo-nang-luc-tphcm-binh-duong/1285414.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH DU HỌC DU LỊCH THƯƠNG MẠI DỊCH VỤ Á ÂU,Thoả thuận,"Hồ Chí Minh, Bình Dương",Trưởng/Phó phòng,5 năm,Toàn thời gian,Nam,"- Kinh nghiệm: 05 năm kinh nghiệm ở vị trí tương đương trong lĩnh vực ứng dụng Công nghệ, phần mềm trong doanh nghiệp.- Độ tuổi: Từ 27 tuổi trở lên- Giới tính: Nam
- Kiến thức:
+ Hiểu biết về nền tảng Công nghệ thông tin
+ Hiểu biết về các quy trình phát triển phần mềm; Các công cụ quản trị dự án, môi trường phát triển ứng dụng, ngôn ngữ lập trình ứng dụng, cơ sở dữ liệu
+ Hiểu biết về các quy trình vận hành bảo trì các hệ thống CNTT; Các công cụ quản trị giám sát hệ thống CNTT."
"Nhân Viên Kỹ Thuật Truyền Hình Cáp- Không Yêu Cầu Kinh Nghiệm (TP. Thủ Đức-HCM, Bình Dương, Bình Phước)",https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-truyen-hinh-cap-khong-yeu-cau-kinh-nghiem-tp-thu-duc-hcm-binh-duong-binh-phuoc/1283964.html?ta_source=ITJobs_LinkDetail,CHI NHÁNH 4 - CÔNG TY TNHH TRUYỀN HÌNH CÁP SAIGONTOURIST,7 - 10 triệu,Bình Dương & 2 nơi khác,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Nam,"- Chiều cao : 1m60 trở lên- Yêu cầu giới tính : Nam- Độ tuổi : 25 - 35- Tốt nghiệp từ trung cấp trở lên
- Ngành nghề : Bưu chính viễn thông, Công nghệ thông tin, Điện/Điện tử/Điện lạnh, Điện tử viễn thông CHÚ Ý: Chỉ tuyển khoa- CNTT, Điện tử viễn thông, bưu chính viễn thông (không tuyển nghành khác)"
